Date,Open,High,Low,Close,Adj Close,Volume
2021-04-15,257.929993,261.480011,256.839996,260.579987,255.963501,117468700
2021-04-22,260.209991,263.190002,252.949997,254.559998,250.050156,144749400
2021-04-29,255.460007,256.100006,245.759995,246.470001,242.103500,145818100
2021-05-06,246.449997,254.300003,238.070007,239.000000,234.765839,153149900
2021-05-13,241.800003,249.179993,238.600006,243.119995,238.812836,124403400
2021-05-20,243.960007,252.940002,243.860001,251.490005,247.605011,100551200
2021-05-27,251.169998,252.080002,245.839996,247.300003,243.479721,85316400
2021-06-03,245.220001,256.010010,243.000000,253.589996,249.672546,114060600
2021-06-10,254.289993,260.579987,253.669998,257.380005,253.404007,107972700
2021-06-17,256.070007,266.829987,256.010010,265.269989,261.172089,135676600
2021-06-24,266.160004,271.649994,264.760010,270.899994,266.715118,108242300
2021-07-01,269.609985,280.690002,269.600006,279.929993,275.605652,98008900
2021-07-08,276.899994,283.660004,274.869995,282.510010,278.145813,116700800
2021-07-15,282.000000,284.100006,274.450012,281.399994,277.052917,132350600
2021-07-22,283.839996,290.149994,282.950012,286.220001,281.798462,136499300
2021-07-29,286.239990,288.619995,283.739990,286.510010,282.084015,89450800
2021-08-05,286.880005,291.549988,285.200012,286.950012,282.517212,79179600
2021-08-12,286.630005,294.820007,286.339996,290.730011,286.238831,97206200
2021-08-19,288.690002,305.839996,288.640015,302.010010,297.913818,131680200
2021-08-26,300.989990,305.190002,296.829987,301.829987,297.736206,101889000
2021-09-02,302.200012,303.359985,297.470001,300.209991,296.138184,63260700
2021-09-09,300.820007,305.320007,294.079987,304.820007,300.685699,113423000
2021-09-16,303.760010,305.309998,289.519989,298.579987,294.530334,148192400
2021-09-23,298.850006,300.899994,282.750000,284.000000,280.148071,126715200
2021-09-30,285.709991,293.630005,280.250000,293.109985,289.134491,146776200
2021-10-07,295.179993,297.970001,292.350006,296.309998,292.291107,98805200
2021-10-14,299.209991,309.700012,297.829987,307.410004,303.240570,109596200
2021-10-21,307.170013,326.100006,306.359985,323.170013,318.786804,132617900
2021-10-28,324.329987,334.899994,321.359985,334.000000,329.469940,136124300
2021-11-04,332.890015,338.790009,329.510010,330.799988,326.313293,114267600
2021-11-11,331.250000,342.190002,330.510010,339.119995,334.520477,97344000
2021-11-18,338.179993,349.670013,333.559998,337.910004,333.936707,127546900
2021-11-25,334.350006,339.279999,328.119995,330.079987,326.198761,129003900
2021-12-02,330.299988,335.799988,318.029999,334.970001,331.031281,158360800
2021-12-09,334.410004,343.790009,324.109985,334.649994,330.715027,169029100
2021-12-16,335.709991,336.760010,317.250000,333.200012,329.282104,160683700
2021-12-23,332.750000,344.299988,332.730011,341.950012,337.929260,70268300
2021-12-30,341.910004,343.130005,315.980011,316.380005,312.659851,135589000
2022-01-06,313.149994,323.410004,304.690002,318.269989,314.527649,180414600
2022-01-13,320.470001,320.880005,301.739990,303.329987,299.763306,173479500
2022-01-20,309.070007,311.649994,276.049988,296.709991,293.221130,342374100
2022-01-27,302.660004,315.119995,294.450012,313.459991,309.774200,227255900
2022-02-03,309.489990,311.929993,299.899994,311.209991,307.550659,171065700
2022-02-10,304.040009,309.119995,291.350006,299.500000,295.978363,177961700
2022-02-17,296.359985,296.799988,280.100006,280.269989,277.547180,146272900
2022-02-24,272.510010,301.470001,271.519989,300.190002,297.273651,187254700
2022-03-03,302.890015,303.130005,270.000000,288.500000,285.697205,186192200
2022-03-10,283.019989,294.570007,275.820007,294.390015,291.529999,160569400
2022-03-17,293.290009,305.000000,289.369995,299.489990,296.580444,155873500
2022-03-24,299.140015,315.950012,298.320007,313.859985,310.810852,135186200
2022-03-31,313.899994,315.140015,296.709991,299.500000,296.590363,148089300
2022-04-07,296.660004,303.649994,280.489990,287.619995,284.825745,143216300
2022-04-14,288.089996,289.700012,278.339996,286.359985,283.578003,94204000
2022-04-21,288.579987,293.299988,270.000000,283.220001,280.468536,204535400
